service_date;day_type;bus;rail_boardings;total_rides
11/22/2009;U;485345;297371;782716
11/23/2009;W;1073100;665885;1738985
11/24/2009;W;1054145;665966;1720111
11/25/2009;W;997101;612769;1609870
11/26/2009;U;329214;188829;518043
11/27/2009;W;647293;378145;1025438
11/28/2009;A;587950;342511;930461
11/29/2009;U;399383;238190;637573
11/30/2009;W;23/03/4770;650622;1698951
12/01/2009;W;09/02/4995;682786;1813253
12/02/2009;W;18/07/4897;673684;1768517
12/03/2009;W;17/07/4908;686030;1784879
12/04/2009;W;24/11/4564;652626;1625962
12/05/2009;A;26/07/3738;385396;1056920
12/06/2009;U;30/10/3162;276654;737894
12/07/2009;W;27/05/4731;643604;1677753
12/08/2009;W;06/06/4723;661097;1692334
12/09/2009;W;03/01/4597;649445;1634509
12/10/2009;W;27/03/4297;598439;1474013
12/11/2009;W;30/06/4584;627993;1608487
12/12/2009;A;653142;371427;1024569
12/13/2009;U;457587;265706;723293
12/14/2009;W;1003184;616209;1619393
12/15/2009;W;988681;619534;1608215
12/16/2009;W;968963;614739;1583702
12/17/2009;W;995849;624996;1620845
12/18/2009;W;1005529;623684;1629213
12/19/2009;A;612039;350048;962087
12/20/2009;U;441105;257984;699089
12/21/2009;W;848265;548679;1396944
12/22/2009;W;818602;546637;1365239
12/23/2009;W;778855;498841;1277696
12/24/2009;W;584096;303611;887707
12/25/2009;U;249347;121545;370892
12/26/2009;A;464351;237093;701444
12/27/2009;U;368183;207527;575710
12/28/2009;W;740043;469843;1209886
12/29/2009;W;753943;488944;1242887
12/30/2009;W;760344;500436;1260780
12/31/2009;W;21/10/3955;461311;1212179
01/01/2010;U;03/09/2853;217060;565384
01/02/2010;A;08/12/3226;264011;748666
01/03/2010;U;20/04/2871;200944;555706
01/04/2010;W;01/04/4470;569397;1508163
01/05/2010;W;13/02/4558;589044;1559904
01/06/2010;W;11/10/4585;598511;1579473
01/07/2010;W;05/06/4369;616491;1518432
01/08/2010;W;24/03/4467;597434;1535096
01/09/2010;A;09/04/3408;310265;861151
01/10/2010;U;28/01/2921;216331;589273
01/11/2010;W;30/12/4593;609826;1593790
01/12/2010;W;1012053;626651;1638704
01/13/2010;W;1031317;632953;1664270
01/14/2010;W;1036398;641827;1678225
01/15/2010;W;1043125;634202;1677327
01/16/2010;A;616904;348293;965197
01/17/2010;U;437665;251971;689636
01/18/2010;W;672311;416744;1089055
01/19/2010;W;1083689;661331;1745020
01/20/2010;W;1069450;657695;1727145
01/21/2010;W;1037561;659269;1696830
01/22/2010;W;1061872;642443;1704315
01/23/2010;A;636107;355143;991250
01/24/2010;U;416766;239968;656734
01/25/2010;W;1039778;645886;1685664
01/26/2010;W;1037134;653753;1690887
01/27/2010;W;1022417;648561;1670978
01/28/2010;W;1002952;647250;1650202
01/29/2010;W;918474;610943;1529417
01/30/2010;A;636005;358140;994145
01/31/2010;U;28/05/3097;249932;687277
02/01/2010;W;01/03/4887;648428;1739469
02/02/2010;W;11/05/4810;651659;1714647
02/03/2010;W;02/10/4950;661280;1775546
02/04/2010;W;28/04/4885;666455;1756824
02/05/2010;W;22/01/4769;641303;1689207
02/06/2010;A;04/08/3588;354178;970925
02/07/2010;U;16/04/3042;248644;665858
02/08/2010;W;08/03/4655;637392;1643703
02/09/2010;W;07/10/4399;646792;1559814
02/10/2010;W;07/01/4472;645430;1584842
02/11/2010;W;17/09/4423;657486;1579254
02/12/2010;W;886702;608456;1495158
02/13/2010;A;641619;385945;1027564
02/14/2010;U;486887;309746;796633
02/15/2010;W;722405;483572;1205977
02/16/2010;W;1028597;665769;1694366
02/17/2010;W;1028817;663479;1692296
02/18/2010;W;1026992;673127;1700119
02/19/2010;W;1030451;658459;1688910
02/20/2010;A;625306;379346;1004652
02/21/2010;U;418101;256673;674774
02/22/2010;W;953759;633739;1587498
02/23/2010;W;1015116;659707;1674823
02/24/2010;W;996077;660548;1656625
02/25/2010;W;1000799;668380;1669179
02/26/2010;W;999789;649111;1648900
02/27/2010;A;603577;372769;976346
02/28/2010;U;418652;259369;678021
03/01/2010;W;893861;606818;1500679
03/02/2010;W;1032445;666762;1699207
03/03/2010;W;02/06/4808;674355;1736635
03/04/2010;W;23/07/4779;680673;1732411
03/05/2010;W;23/11/4736;664445;1700601
03/06/2010;A;11/10/3713;399749;1062219
03/07/2010;U;15/09/3044;257932;676029
03/08/2010;W;20/09/4675;651269;1665081
03/09/2010;W;06/01/4707;665192;1690434
03/10/2010;W;30/04/4721;670440;1700910
03/11/2010;W;18/07/4622;664881;1659271
03/12/2010;W;26/02/4676;662812;1676783
03/13/2010;A;30/10/3525;443491;1037314
03/14/2010;U;09/09/3073;273849;702532
03/15/2010;W;996747;648605;1645352
03/16/2010;W;1036185;679563;1715748
03/17/2010;W;1043518;689789;1733307
03/18/2010;W;1036643;690207;1726850
03/19/2010;W;1022766;663983;1686749
03/20/2010;A;505581;325253;830834
03/21/2010;U;405115;271794;676909
03/22/2010;W;981316;617250;1598566
03/23/2010;W;1012454;638684;1651138
03/24/2010;W;987466;633221;1620687
03/25/2010;W;949845;629016;1578861
03/26/2010;W;971169;632589;1603758
03/27/2010;A;608093;373225;981318
03/28/2010;U;413535;260956;674491
03/29/2010;W;852199;601592;1453791
03/30/2010;W;884276;625592;1509868
03/31/2010;W;901476;645780;1547256
04/01/2010;W;949879;673448;1623327
04/02/2010;W;881173;601009;1482182
04/03/2010;A;03/11/3498;340842;924808
04/04/2010;U;03/02/2996;234963;635304
04/05/2010;W;14/01/4570;657842;1633055
04/06/2010;W;22/07/4596;664805;1649704
04/07/2010;W;09/09/4475;666668;1607421
04/08/2010;W;23/04/4607;683625;1672450
04/09/2010;W;28/09/4497;679699;1628507
04/10/2010;A;20/09/3715;440432;1103611
04/11/2010;U;10/03/3106;289141;729693
04/12/2010;W;08/01/4662;689027;1697836
04/13/2010;W;18/12/4724;679327;1711125
04/14/2010;W;10/07/4757;714316;1758006
04/15/2010;W;1040113;728178;1768291
04/16/2010;W;1005953;706984;1712937
04/17/2010;A;643599;438658;1082257
04/18/2010;U;443588;309798;753386
04/19/2010;W;1006105;663348;1669453
04/20/2010;W;1023621;685488;1709109
04/21/2010;W;1010968;682322;1693290
04/22/2010;W;976688;683400;1660088
04/23/2010;W;996166;671480;1667646
04/24/2010;A;588835;385430;974265
04/25/2010;U;387151;264966;652117
04/26/2010;W;1014665;682134;1696799
04/27/2010;W;1022698;697232;1719930
04/28/2010;W;981925;695381;1677306
04/29/2010;W;971157;697327;1668484
04/30/2010;W;1032120;707210;1739330
05/01/2010;A;668743;455658;1124401
05/02/2010;U;458651;314736;773387
05/03/2010;W;1051064;673932;1724996
05/04/2010;W;19/03/4768;687646;1735241
05/05/2010;W;16/02/4730;692081;1725765
05/06/2010;W;26/12/4720;690306;1720651
05/07/2010;W;28/06/4526;650935;1610242
05/08/2010;A;02/11/3564;379017;987088
05/09/2010;U;20/12/3102;282516;721892
05/10/2010;W;14/10/4589;680635;1663061
05/11/2010;W;09/03/4498;668287;1617257
05/12/2010;W;05/11/4604;682843;1670769
05/13/2010;W;13/08/4516;664390;1620091
05/14/2010;W;21/11/4699;708596;1731236
05/15/2010;A;13/01/3633;428608;1061588
05/16/2010;U;446820;316780;763600
05/17/2010;W;951092;643233;1594325
05/18/2010;W;976377;669846;1646223
05/19/2010;W;1009046;668811;1677857
05/20/2010;W;982640;667152;1649792
05/21/2010;W;949316;656659;1605975
05/22/2010;A;646961;413263;1060224
05/23/2010;U;490423;322958;813381
05/24/2010;W;974382;650835;1625217
05/25/2010;W;1005290;690144;1695434
05/26/2010;W;1004824;688396;1693220
05/27/2010;W;995700;697901;1693601
05/28/2010;W;994671;694492;1689163
05/29/2010;A;645684;455979;1101663
05/30/2010;U;480340;367778;848118
05/31/2010;U;347857;243566;591423
06/01/2010;W;1024767;669261;1694028
06/02/2010;W;990049;663107;1653156
06/03/2010;W;1042401;688706;1731107
06/04/2010;W;14/07/4673;679386;1692400
06/05/2010;A;30/11/3533;390596;987372
06/06/2010;U;31/12/3145;308756;763849
06/07/2010;W;09/04/4642;679492;1681087
06/08/2010;W;27/03/4450;652565;1584021
06/09/2010;W;20/09/4726;707821;1740260
06/10/2010;W;11/12/4690;707755;1727128
06/11/2010;W;10/08/4580;845329;1824403
06/12/2010;A;30/03/3545;444278;1045192
06/13/2010;U;25/12/3135;348910;800344
06/14/2010;W;02/03/4517;662467;1618369
06/15/2010;W;06/01/4496;686852;1635029
06/16/2010;W;1003968;723671;1727639
06/17/2010;W;954409;719629;1674038
06/18/2010;W;940534;693973;1634507
06/19/2010;A;673052;472662;1145714
06/20/2010;U;465420;301730;767150
06/21/2010;W;868542;626192;1494734
06/22/2010;W;916810;666558;1583368
06/23/2010;W;820493;627767;1448260
06/24/2010;W;931520;691266;1622786
06/25/2010;W;941751;750414;1692165
06/26/2010;A;646770;467943;1114713
06/27/2010;U;439815;441824;881639
06/28/2010;W;911187;698735;1609922
06/29/2010;W;919886;716597;1636483
06/30/2010;W;939032;726101;1665133
07/01/2010;W;997162;802022;1799184
07/02/2010;W;948286;728895;1677181
07/03/2010;A;688185;498374;1186559
07/04/2010;U;517771;431068;948839
07/05/2010;U;17/08/3242;338754;829140
07/06/2010;W;28/07/4381;637312;1543689
07/07/2010;W;13/12/4396;656096;1568090
07/08/2010;W;19/02/4402;665000;1578888
07/09/2010;W;02/06/4447;676348;1606775
07/10/2010;A;30/06/3613;418254;1044097
07/11/2010;U;08/05/3109;304804;746511
07/12/2010;W;02/02/4410;645066;1561859
07/13/2010;W;01/08/4485;664923;1609290
07/14/2010;W;01/11/4470;670046;1609026
07/15/2010;W;19/07/4458;715607;1650099
07/16/2010;W;28/01/4442;753901;1682377
07/17/2010;A;653987;518643;1172630
07/18/2010;U;453952;378151;832103
07/19/2010;W;927114;681084;1608198
07/20/2010;W;938739;692212;1630951
07/21/2010;W;951550;705647;1657197
07/22/2010;W;927185;670399;1597584
07/23/2010;W;879035;677196;1556231
07/24/2010;A;571189;416540;987729
07/25/2010;U;472911;351173;824084
07/26/2010;W;915404;658817;1574221
07/27/2010;W;935330;670382;1605712
07/28/2010;W;908070;667607;1575677
07/29/2010;W;933636;684987;1618623
07/30/2010;W;943778;683141;1626919
07/31/2010;A;657365;450680;1108045
08/01/2010;U;491220;348968;840188
08/02/2010;W;913649;660658;1574307
08/03/2010;W;927125;668186;1595311
08/04/2010;W;880047;663305;1543352
08/05/2010;W;12/11/4498;698256;1647474
08/06/2010;W;24/05/4493;791899;1739119
08/07/2010;A;21/06/3730;551140;1219707
08/08/2010;U;15/01/3171;415228;879467
08/09/2010;W;11/07/4370;647949;1550291
08/10/2010;W;24/10/4390;662126;1571878
08/11/2010;W;14/12/4370;661211;1563709
08/12/2010;W;24/12/4386;666665;1575017
08/13/2010;W;07/10/4414;665794;1584295
08/14/2010;A;25/09/3783;460503;1148524
08/15/2010;U;26/05/3288;359893;866998
08/16/2010;W;23/04/4383;648950;1555961
08/17/2010;W;909673;659235;1568908
08/18/2010;W;935381;676787;1612168
08/19/2010;W;940943;688195;1629138
08/20/2010;W;928525;688864;1617389
08/21/2010;A;662928;462355;1125283
08/22/2010;U;470110;336654;806764
08/23/2010;W;941694;650532;1592226
08/24/2010;W;962622;674401;1637023
08/25/2010;W;973800;689560;1663360
08/26/2010;W;978212;694660;1672872
08/27/2010;W;991691;700296;1691987
08/28/2010;A;678949;458504;1137453
08/29/2010;U;471725;334378;806103
08/30/2010;W;960273;673150;1633423
08/31/2010;W;980388;693348;1673736
09/01/2010;W;1014776;696657;1711433
09/02/2010;W;964759;679832;1644591
09/03/2010;W;996297;721206;1717503
09/04/2010;A;671418;475332;1146750
09/05/2010;U;07/04/3261;399389;896583
09/06/2010;U;18/05/3140;319536;772576
09/07/2010;W;01/03/4823;723135;1790800
09/08/2010;W;07/12/4853;744212;1823116
09/09/2010;W;19/03/4784;729328;1782767
09/10/2010;W;27/08/4823;740993;1808837
09/11/2010;A;19/10/3598;438303;1058778
09/12/2010;U;12/11/3210;343875;822660
09/13/2010;W;09/06/4813;722939;1787052
09/14/2010;W;21/10/4837;743702;1816715
09/15/2010;W;30/07/4849;757144;1834457
09/16/2010;W;21/08/4720;751525;1781743
09/17/2010;W;1070710;777601;1848311
09/18/2010;A;602888;457774;1060662
09/19/2010;U;463244;335858;799102
09/20/2010;W;1040338;712870;1753208
09/21/2010;W;1068204;750363;1818567
09/22/2010;W;1038052;751724;1789776
09/23/2010;W;1067715;767134;1834849
09/24/2010;W;966185;750033;1716218
09/25/2010;A;647044;486430;1133474
09/26/2010;U;439578;331103;770681
09/27/2010;W;1030264;725559;1755823
09/28/2010;W;1049114;732828;1781942
09/29/2010;W;1044807;734953;1779760
09/30/2010;W;1040445;748851;1789296
10/01/2010;W;1095244;742857;1838101
10/02/2010;A;620784;423372;1044156
10/03/2010;U;451850;307659;759509
10/04/2010;W;1049060;710406;1759466
10/05/2010;W;1062843;726247;1789090
10/06/2010;W;28/12/4794;730113;1787488
10/07/2010;W;26/08/4769;753345;1801465
10/08/2010;W;14/09/4803;753053;1813610
10/09/2010;A;20/02/3770;503343;1186399
10/10/2010;U;18/10/3140;489078;942271
10/11/2010;W;25/04/4158;627449;1452283
10/12/2010;W;09/02/4824;736048;1804058
10/13/2010;W;08/02/4706;726372;1751282
10/14/2010;W;18/11/4802;750943;1811200
10/15/2010;W;28/12/4822;753653;1821255
10/16/2010;A;25/03/3746;477876;1152199
10/17/2010;U;18/01/3189;337407;808224
10/18/2010;W;1038903;717627;1756530
10/19/2010;W;1057820;729779;1787599
10/20/2010;W;1061125;733950;1795075
10/21/2010;W;1053153;747116;1800269
10/22/2010;W;987323;727707;1715030
10/23/2010;A;624770;451848;1076618
10/24/2010;U;443462;319622;763084
10/25/2010;W;1030602;710784;1741386
10/26/2010;W;948119;691241;1639360
10/27/2010;W;1051715;739161;1790876
10/28/2010;W;1023047;735281;1758328
10/29/2010;W;1027443;725760;1753203
10/30/2010;A;653147;447410;1100557
10/31/2010;U;451532;321535;773067
11/01/2010;W;1050239;702890;1753129
11/02/2010;W;1053066;711219;1764285
11/03/2010;W;1067432;725866;1793298
11/04/2010;W;1036639;731024;1767663
11/05/2010;W;1034503;723652;1758155
11/06/2010;A;01/06/3656;455652;1097172
11/07/2010;U;18/07/3142;305880;759711
11/08/2010;W;04/04/4765;709569;1756084
11/09/2010;W;02/08/4798;721276;1779964
11/10/2010;W;14/02/4817;729087;1794546
11/11/2010;W;01/06/4317;660145;1543089
11/12/2010;W;06/07/4505;714781;1666426
11/13/2010;A;16/03/3545;436971;1037871
11/14/2010;U;10/01/3224;306831;790423
11/15/2010;W;19/09/4673;704470;1717551
11/16/2010;W;01/02/4752;720439;1762143
11/17/2010;W;07/04/4728;717114;1750118
11/18/2010;W;984043;712787;1696830
11/19/2010;W;1038686;715507;1754193
11/20/2010;A;640618;545276;1185894
11/21/2010;U;437682;295297;732979
11/22/2010;W;957125;667375;1624500
11/23/2010;W;1006493;698730;1705223
11/24/2010;W;898974;621938;1520912
11/25/2010;U;312756;195258;508014
11/26/2010;W;557867;369071;926938
11/27/2010;A;517892;340136;858028
11/28/2010;U;401514;271093;672607
11/29/2010;W;974393;658026;1632419
11/30/2010;W;970873;672281;1643154
12/01/2010;W;999878;678039;1677917
12/02/2010;W;1008349;688764;1697113
12/03/2010;W;985527;691211;1676738
12/04/2010;A;586500;407739;994239
12/05/2010;U;406680;277309;683989
12/06/2010;W;944575;641755;1586330
12/07/2010;W;28/03/4513;652015;1606482
12/08/2010;W;30/11/4551;662398;1630991
12/09/2010;W;04/02/4521;667827;1625164
12/10/2010;W;06/10/4601;682824;1669624
12/11/2010;A;16/05/3469;388409;961612
12/12/2010;U;15/07/2804;249350;579727
12/13/2010;W;26/09/4171;598167;1427903
12/14/2010;W;25/06/4333;623467;1512279
12/15/2010;W;09/11/4425;640490;1563042
12/16/2010;W;31/01/4418;644539;1564252
12/17/2010;W;15/05/4453;642967;1575568
12/18/2010;A;05/07/3461;370965;941296
12/19/2010;U;404153;269162;673315
12/20/2010;W;791684;573110;1364794
12/21/2010;W;786351;574097;1360448
12/22/2010;W;786757;558711;1345468
12/23/2010;W;740052;489295;1229347
12/24/2010;W;513353;261461;774814
12/25/2010;U;233266;128261;361527
12/26/2010;U;346331;215163;561494
12/27/2010;W;673638;435925;1109563
12/28/2010;W;717933;490978;1208911
12/29/2010;W;731000;513271;1244271
12/30/2010;W;754297;524961;1279258
12/31/2010;W;609114;391713;1000827
01/01/2011;U;342872;239754;582626
01/02/2011;U;364165;225886;590051
01/03/2011;W;925770;581035;1506805
01/04/2011;W;946232;621057;1567289
01/05/2011;W;950712;624027;1574739
01/06/2011;W;939518;625246;1564764
01/07/2011;W;05/07/4438;622084;1549257
01/08/2011;A;18/07/3379;333951;874345
01/09/2011;U;27/06/2942;237361;618123
01/10/2011;W;15/01/4546;639852;1606300
01/11/2011;W;12/09/4428;654856;1578446
01/12/2011;W;13/09/4528;657426;1617541
01/13/2011;W;02/12/4554;661269;1630960
01/14/2011;W;19/12/4593;656551;1640504
01/15/2011;A;02/05/3454;355580;923290
01/16/2011;U;05/08/2957;260631;646911
01/17/2011;W;13/06/3580;422788;1036561
01/18/2011;W;31/05/4613;678327;1669382
01/19/2011;W;1006033;679355;1685388
01/20/2011;W;975376;674347;1649723
01/21/2011;W;853208;598356;1451564
01/22/2011;A;522699;330666;853365
01/23/2011;U;375396;253697;629093
01/24/2011;W;972155;654573;1626728
01/25/2011;W;1006376;680037;1686413
01/26/2011;W;1014944;681652;1696596
01/27/2011;W;994412;685346;1679758
01/28/2011;W;930518;655861;1586379
01/29/2011;A;617408;381200;998608
01/30/2011;U;406547;254689;661236
01/31/2011;W;1001892;670399;1672291
02/01/2011;W;814985;640223;1455208
02/02/2011;W;219234;209287;428521
02/03/2011;W;732420;580480;1312900
02/04/2011;W;933210;715546;1648756
02/05/2011;A;615765;400440;1016205
02/06/2011;U;402275;273038;675313
02/07/2011;W;03/02/4629;693321;1690103
02/08/2011;W;20/08/4600;697441;1683829
02/09/2011;W;03/02/4478;676705;1618336
02/10/2011;W;10/07/4475;676869;1617561
02/11/2011;W;31/03/4542;659696;1624758
02/12/2011;A;03/12/3715;415060;1078313
02/13/2011;U;23/11/3197;303381;777429
02/14/2011;W;06/12/4813;708790;1773083
02/15/2011;W;01/03/4751;702586;1743953
02/16/2011;W;03/12/4774;709634;1759679
02/17/2011;W;28/03/4764;719471;1765614
02/18/2011;W;23/04/4784;710682;1764156
02/19/2011;A;675487;431010;1106497
02/20/2011;U;385554;261695;647249
02/21/2011;W;706507;504444;1210951
02/22/2011;W;1004067;692661;1696728
02/23/2011;W;1026312;701009;1727321
02/24/2011;W;1030542;708692;1739234
02/25/2011;W;1015416;691267;1706683
02/26/2011;A;601634;393242;994876
02/27/2011;U;419643;278593;698236
02/28/2011;W;1007930;681614;1689544
03/01/2011;W;1064543;709683;1774226
03/02/2011;W;1038790;702291;1741081
03/03/2011;W;1057767;709973;1767740
03/04/2011;W;1019568;681216;1700784
03/05/2011;A;581121;375814;956935
03/06/2011;U;428668;275314;703982
03/07/2011;W;889994;640899;1530893
03/08/2011;W;1054432;710380;1764812
03/09/2011;W;1014632;697366;1711998
03/10/2011;W;11/06/4692;707389;1727310
03/11/2011;W;14/08/4766;708603;1755615
03/12/2011;A;20/02/3627;500559;1131385
03/13/2011;U;07/09/3074;284406;713452
03/14/2011;W;05/10/4691;686277;1705948
03/15/2011;W;22/04/4708;699145;1724859
03/16/2011;W;03/03/4795;725095;1782535
03/17/2011;W;01/08/4745;730561;1769890
03/18/2011;W;04/02/4715;706274;1734467
03/19/2011;A;02/03/3712;426128;1088010
03/20/2011;U;24/09/2988;263022;660675
03/21/2011;W;17/10/4662;661503;1670594
03/22/2011;W;964687;653024;1617711
03/23/2011;W;1000324;667467;1667791
03/24/2011;W;984660;671765;1656425
03/25/2011;W;995334;661865;1657199
03/26/2011;A;603928;387317;991245
03/27/2011;U;421290;276610;697900
03/28/2011;W;1005055;674351;1679406
03/29/2011;W;1018975;688681;1707656
03/30/2011;W;1022399;692860;1715259
03/31/2011;W;958648;709483;1668131
04/01/2011;W;960123;712981;1673104
04/02/2011;A;688873;457067;1145940
04/03/2011;U;450017;305328;755345
04/04/2011;W;1021955;695709;1717664
04/05/2011;W;1063835;723943;1787778
04/06/2011;W;1032831;725191;1758022
04/07/2011;W;982880;719890;1702770
04/08/2011;W;1006956;701186;1708142
04/09/2011;A;675312;462038;1137350
04/10/2011;U;21/12/3222;359065;842272
04/11/2011;W;30/11/4636;696423;1696062
04/12/2011;W;20/05/4737;717458;1753792
04/13/2011;W;29/03/4748;721206;1761506
04/14/2011;W;25/11/4682;720731;1737166
04/15/2011;W;25/11/4544;691935;1657967
04/16/2011;A;18/06/3507;398192;985306
04/17/2011;U;21/11/3137;306186;758317
04/18/2011;W;27/11/4258;655013;1516587
04/19/2011;W;07/03/4262;627085;1489855
04/20/2011;W;22/12/4350;684367;1579568
04/21/2011;W;25/12/4417;685284;1604960
04/22/2011;W;767236;583531;1350767
04/23/2011;A;644228;421767;1065995
04/24/2011;U;415484;274724;690208
04/25/2011;W;970581;685301;1655882
04/26/2011;W;1009393;717303;1726696
04/27/2011;W;960037;712176;1672213
04/28/2011;W;972352;710559;1682911
04/29/2011;W;1083692;738332;1822024
04/30/2011;A;677693;452569;1130262
05/01/2011;U;474621;320956;795577
05/02/2011;W;1040468;694159;1734627
05/03/2011;W;1063059;708526;1771585
05/04/2011;W;1068494;718706;1787200
05/05/2011;W;1045556;720006;1765562
05/06/2011;W;1054724;732966;1787690
05/07/2011;A;642855;443268;1086123
05/08/2011;U;474170;325850;800020
05/09/2011;W;996746;680206;1676952
05/10/2011;W;1050936;734088;1785024
05/11/2011;W;08/01/4699;724069;1746392
05/12/2011;W;13/06/4711;739195;1766056
05/13/2011;W;16/06/4653;728981;1734662
05/14/2011;A;07/04/3474;412250;987240
05/15/2011;U;05/06/2957;279473;665692
05/16/2011;W;11/12/4643;683002;1685208
05/17/2011;W;02/12/4671;694950;1707374
05/18/2011;W;18/01/4629;688457;1685223
05/19/2011;W;03/09/4676;705964;1720125
05/20/2011;W;07/12/4712;710957;1738361
05/21/2011;A;09/08/3612;421143;1046661
05/22/2011;U;01/10/3160;321421;781902
05/23/2011;W;997460;682656;1680116
05/24/2011;W;1019381;719974;1739355
05/25/2011;W;932486;676081;1608567
05/26/2011;W;954623;693660;1648283
05/27/2011;W;1005068;695755;1700823
05/28/2011;A;586663;420778;1007441
05/29/2011;U;392008;306407;698415
05/30/2011;U;512702;387955;900657
05/31/2011;W;976956;683927;1660883
06/01/2011;W;1077060;728801;1805861
06/02/2011;W;1037191;707569;1744760
06/03/2011;W;1084952;753705;1838657
06/04/2011;A;660496;465907;1126403
06/05/2011;U;498740;355072;853812
06/06/2011;W;1026379;723353;1749732
06/07/2011;W;1023477;727689;1751166
06/08/2011;W;1027909;731488;1759397
06/09/2011;W;925826;677601;1603427
06/10/2011;W;991111;699233;1690344
06/11/2011;A;07/10/3650;452885;1092341
06/12/2011;U;21/05/3248;388957;881447
06/13/2011;W;31/10/4653;726932;1732750
06/14/2011;W;03/09/4664;739810;1749588
06/15/2011;W;03/10/4438;708511;1635774
06/16/2011;W;23/10/4530;741999;1702884
06/17/2011;W;04/07/4743;787772;1826342
06/18/2011;A;27/04/3729;502500;1170647
06/19/2011;U;19/11/3211;352290;831447
06/20/2011;W;02/11/4263;666828;1530203
06/21/2011;W;09/01/4442;698702;1627159
06/22/2011;W;20/08/4381;695241;1601641
06/23/2011;W;918605;692002;1610607
06/24/2011;W;923487;714821;1638308
06/25/2011;A;672716;511370;1184086
06/26/2011;U;513140;561689;1074829
06/27/2011;W;915375;702396;1617771
06/28/2011;W;974240;768178;1742418
06/29/2011;W;966399;754551;1720950
06/30/2011;W;947943;753565;1701508
07/01/2011;W;940403;723107;1663510
07/02/2011;A;701711;514859;1216570
07/03/2011;U;546895;441925;988820
07/04/2011;U;502623;375468;878091
07/05/2011;W;944119;684091;1628210
07/06/2011;W;961177;711577;1672754
07/07/2011;W;960396;717952;1678348
07/08/2011;W;973648;738968;1712616
07/09/2011;A;688403;487196;1175599
07/10/2011;U;487215;355799;843014
07/11/2011;W;899672;654659;1554331
07/12/2011;W;23/11/4511;695840;1649816
07/13/2011;W;16/04/4550;712673;1680673
07/14/2011;W;23/10/4536;746693;1709770
07/15/2011;W;21/06/4530;767058;1727819
07/16/2011;A;14/09/3737;512671;1183880
07/17/2011;U;14/09/3234;390269;877761
07/18/2011;W;03/03/4397;708169;1620243
07/19/2011;W;04/06/4470;721231;1660061
07/20/2011;W;16/01/4387;711617;1619992
07/21/2011;W;03/08/4368;693073;1594708
07/22/2011;W;08/03/4339;700452;1591346
07/23/2011;A;05/01/3657;478455;1120193
07/24/2011;U;440442;346005;786447
07/25/2011;W;932136;698802;1630938
07/26/2011;W;958271;708596;1666867
07/27/2011;W;926794;697817;1624611
07/28/2011;W;916275;689617;1605892
07/29/2011;W;942044;711542;1653586
07/30/2011;A;677527;472828;1150355
07/31/2011;U;491214;372586;863800
08/01/2011;W;951492;707492;1658984
08/02/2011;W;921043;682755;1603798
08/03/2011;W;984399;715612;1700011
08/04/2011;W;953514;745527;1699041
08/05/2011;W;968013;822093;1790106
08/06/2011;A;682517;569511;1252028
08/07/2011;U;479588;426721;906309
08/08/2011;W;912362;692657;1605019
08/09/2011;W;958406;713624;1672030
08/10/2011;W;963575;720504;1684079
08/11/2011;W;957398;709254;1666652
08/12/2011;W;01/05/4516;709694;1665291
08/13/2011;A;05/10/3617;457851;1085252
08/14/2011;U;17/10/3187;358606;828964
08/15/2011;W;24/03/4465;668224;1605156
08/16/2011;W;22/10/4487;688071;1633250
08/17/2011;W;27/07/4484;692781;1636778
08/18/2011;W;11/02/4504;707426;1658560
08/19/2011;W;15/11/4587;751679;1733406
08/20/2011;A;13/12/3604;472815;1095537
08/21/2011;U;12/04/3368;420416;956696
08/22/2011;W;31/03/4552;704225;1672940
08/23/2011;W;23/10/4403;688649;1603148
08/24/2011;W;999361;728732;1728093
08/25/2011;W;1003797;744805;1748602
08/26/2011;W;997931;710247;1708178
08/27/2011;A;691082;463528;1154610
08/28/2011;U;488275;339049;827324
08/29/2011;W;988033;712733;1700766
08/30/2011;W;991793;719656;1711449
08/31/2011;W;1011858;728047;1739905
09/01/2011;W;1047270;739620;1786890
09/02/2011;W;1001837;741985;1743822
09/03/2011;A;655947;472827;1128774
09/04/2011;U;529593;432441;962034
09/05/2011;U;471000;356948;827948
09/06/2011;W;1116811;746632;1863443
09/07/2011;W;1079256;773670;1852926
09/08/2011;W;1058730;770455;1829185
09/09/2011;W;1049654;754824;1804478
09/10/2011;A;665138;486616;1151754
09/11/2011;U;483138;356915;840053
09/12/2011;W;21/04/4850;756209;1833787
09/13/2011;W;15/10/4915;775124;1876619
09/14/2011;W;15/09/4825;768114;1836708
09/15/2011;W;16/07/4852;780369;1858764
09/16/2011;W;13/03/4807;774553;1836386
09/17/2011;A;03/09/3773;511704;1196051
09/18/2011;U;07/09/3085;328422;761486
09/19/2011;W;24/03/4793;758422;1815153
09/20/2011;W;06/02/4897;787667;1882338
09/21/2011;W;26/05/4886;780222;1870984
09/22/2011;W;03/05/4846;770485;1846614
09/23/2011;W;03/11/4674;751348;1764839
09/24/2011;A;655360;466534;1121894
09/25/2011;U;448547;333394;781941
09/26/2011;W;1028362;733053;1761415
09/27/2011;W;1059305;751659;1810964
09/28/2011;W;1053206;759071;1812277
09/29/2011;W;1051634;753753;1805387
09/30/2011;W;1066348;757321;1823669
10/01/2011;A;701783;480889;1182672
10/02/2011;U;486409;344520;830929
10/03/2011;W;1091676;751034;1842710
